id,fkPreparazione,fkAlimento,quantita,fkTipoQuantita,note,dataInserimento,utenteInserimento,dataCancellazione,utenteCancellazione
114,19,254.0,7.0,1,ALLERGENE,2024-01-29 10:06:47.763000,f.gallo,,
115,19,451.0,2.0,1,,,,2024-01-25 09:51:40.140000,f.gallo
116,19,105.0,7.0,1,ALLERGENE,2024-01-25 09:51:25.607000,f.gallo,,
117,19,626.0,0.1,1,,,,,
118,37,766.0,1.0,1,,,,,
119,37,146.0,30.0,1,,,,,
120,37,188.0,30.0,1,,,,,
121,37,574.0,0.1,1,,,,,
122,37,789.0,0.1,1,ALLERGENE,2023-02-16 08:16:22.057000,f.gallo,,
123,37,626.0,0.1,1,,,,,
124,37,567.0,1.0,1,,2023-06-09 07:39:28.203000,f.gallo,,
125,38,518.0,150.0,1,,,,,
126,38,572.0,30.0,1,,,,,
127,38,789.0,0.1,1,ALLERGENE (presenza sedano),2020-01-30 15:14:16.590000,e.governa,,
128,38,626.0,0.1,1,,,,,
130,39,531.0,10.0,1,,,,,
131,39,788.0,15.0,1,,,,,
132,39,545.0,10.0,1,,,,,
134,39,237.0,0.1,1,,,,,
135,40,159.0,100.0,1,,,,,
136,40,133.0,2.0,1,ALLERGENE,2023-03-09 17:00:45.170000,m.cannarozzo,,
137,40,3.0,2.0,1,ALLERGENE,2023-03-09 17:00:53.823000,m.cannarozzo,,
138,40,451.0,10.0,1,,,,,
139,40,530.0,0.1,1,,,,,
140,40,626.0,0.1,1,,,,,
141,41,565.0,90.0,1,,,,,
142,41,761.0,12.0,1,,,,,
143,41,701.0,12.0,1,,,,,
145,41,759.0,5.0,1,ALLERGENE,2023-02-17 16:52:53.733000,m.cannarozzo,,
146,41,786.0,0.1,1,,,,,
147,41,612.0,0.1,1,,,,,
148,41,626.0,0.1,1,,,,,
149,41,529.0,0.1,1,,,,,
150,41,451.0,8.0,1,,,,,
152,42,412.0,30.0,1,,,,,
153,42,532.0,20.0,1,,2022-06-08 19:20:42.523000,m.cannarozzo,,
154,42,133.0,1.0,1,,,,,
155,42,574.0,1.0,1,,,,,
156,42,57.0,0.1,1,,,,,
157,42,451.0,5.0,1,,,,,
158,42,626.0,0.1,1,,,,,
159,42,530.0,0.1,1,,,,,
160,43,608.0,40.0,1,,2024-01-29 10:48:18.327000,f.gallo,,
161,43,322.0,20.0,1,ALLERGENE,2024-01-29 10:48:41.597000,f.gallo,,
162,43,576.0,20.0,1,,2024-01-29 10:48:59.907000,f.gallo,,
163,43,545.0,20.0,1,,2024-01-29 10:49:09.627000,f.gallo,,
164,43,775.0,10.0,1,,,,2024-01-29 10:49:21.030000,f.gallo
165,43,390.0,7.0,1,,,,,
166,43,235.0,10.0,1,ALLERGENE,2020-01-30 15:24:16.180000,e.governa,,
167,43,451.0,6.0,1,,,,,
168,43,687.0,4.0,1,,,,,
169,43,462.0,10.0,1,,,,,
170,43,191.0,5.0,1,ALLERGENE,2023-08-07 11:40:45.513000,m.cannarozzo,,
171,44,462.0,2.0,1,,,,,
172,44,133.0,2.0,1,,,,,
173,44,3.0,2.0,1,ALLERGENI,2023-06-14 11:38:30.923000,f.gallo,,
174,44,574.0,0.1,1,,,,,
176,44,8.0,0.1,1,,,,,
177,44,626.0,0.1,1,,,,,
178,44,530.0,0.1,1,,,,,
179,45,518.0,50.0,1,,,,,
180,45,146.0,10.0,1,,,,,
181,45,572.0,10.0,1,,,,,
182,45,647.0,10.0,1,,,,,
183,45,565.0,25.0,1,,,,,
184,45,789.0,3.0,1,,,,,
185,45,451.0,8.0,1,,,,,
186,45,511.0,30.0,1,,,,,
187,45,373.0,100.0,1,,,,,
188,45,626.0,0.1,1,,,,,
189,45,529.0,0.1,1,,,,,
190,46,146.0,120.0,1,,2024-01-25 11:09:02.610000,f.gallo,,
191,46,518.0,90.0,1,,,,,
192,46,572.0,30.0,1,,,,,
193,46,451.0,8.0,1,,2023-02-13 12:35:24.567000,m.cannarozzo,,
194,46,626.0,0.1,1,,,,,
195,46,565.0,1.0,1,,,,,
196,46,789.0,0.1,1,ALLERGENE,2023-02-09 12:09:40.603000,m.cannarozzo,,
197,47,518.0,50.0,1,,,,2023-02-14 12:23:06.223000,m.cannarozzo
198,47,241.0,100.0,1,,,,,
199,47,146.0,10.0,1,,,,,
200,47,572.0,10.0,1,,,,,
202,47,565.0,25.0,1,,,,,
203,47,789.0,0.1,1,ALLERGENE,2023-03-27 10:23:02.303000,m.cannarozzo,,
206,47,451.0,8.0,1,,,,,
207,47,511.0,30.0,1,ALLERGENE,2023-03-27 10:22:43.827000,m.cannarozzo,,
210,48,8.0,0.1,1,,,,,
211,48,574.0,0.1,1,,,,,
212,48,790.0,30.0,1,,,,,
215,49,791.0,30.0,1,ALLERGENE,2023-04-29 16:06:24.383000,m.cannarozzo,,
216,49,574.0,1.0,1,,,,,
217,49,8.0,0.1,1,,,,,
218,49,451.0,5.0,1,,,,,
219,49,530.0,0.1,1,,,,,
220,50,163.0,100.0,1,,,,,
221,50,518.0,80.0,1,,,,,
222,50,146.0,10.0,1,,,,,
223,50,188.0,10.0,1,,,,,
224,50,647.0,10.0,1,,,,,
225,50,20.0,0.1,1,,,,,
226,50,565.0,25.0,1,,,,,
227,50,789.0,0.1,1,,,,,
228,50,626.0,0.1,1,,,,,
229,50,529.0,0.1,1,,,,,
230,50,451.0,8.0,1,,,,,
231,50,511.0,30.0,1,,,,,
232,51,507.0,70.0,1,ALLERGENE,2020-01-30 15:24:49.783000,e.governa,,
234,51,701.0,50.0,1,,,,2024-01-29 10:58:51.413000,f.gallo
236,51,506.0,5.0,1,ALLERGENE,2020-01-30 15:24:57.007000,e.governa,,
237,52,792.0,150.0,1,ALLERGENE,2023-02-21 12:29:35.987000,m.cannarozzo,,
238,52,451.0,8.0,1,,,,,
239,52,789.0,0.1,1,ALLERGENE,2023-02-21 12:29:46.707000,m.cannarozzo,,
240,52,626.0,0.1,1,,,,,
241,52,565.0,10.0,1,,,,,
243,53,760.0,140.0,1,,,,,
244,53,565.0,0.1,1,,,,,
245,53,759.0,20.0,1,ALLERGENE,2023-02-20 10:43:57.120000,m.cannarozzo,,
246,53,130.0,0.1,1,,,,,
247,53,793.0,0.1,1,,,,,
248,53,626.0,0.1,1,,,,,
249,53,529.0,0.1,1,,,,,
250,53,95.0,0.1,1,ALLERGENE,2020-02-06 14:02:25.717000,m.crea,,
251,54,761.0,130.0,1,,,,,
254,54,759.0,10.0,1,ALLERGENE,2023-03-28 12:22:14.733000,m.cannarozzo,,
255,54,626.0,0.1,1,,,,,
256,54,529.0,0.1,1,,,,,
257,54,95.0,5.0,1,ALLERGENE,2020-02-06 14:29:34.743000,m.crea,,
258,54,451.0,8.0,1,,,,,
259,54,518.0,70.0,1,,,,,
260,55,760.0,120.0,1,,,,,
261,55,794.0,10.0,1,ALLERGENE,2020-02-06 14:31:44.270000,m.crea,,
262,55,518.0,30.0,1,,,,,
263,55,574.0,1.0,1,,,,,
264,55,626.0,0.1,1,,,,,
265,55,506.0,20.0,1,ALLERGENE,2020-02-06 14:49:10.710000,m.crea,,
266,56,557.0,130.0,1,,,,,
267,56,612.0,0.1,1,,,,,
268,56,467.0,0.1,1,,,,,
269,56,626.0,0.1,1,,,,,
270,56,529.0,0.1,1,,,,,
271,57,761.0,110.0,1,"La ricetta,puo' contenere tracce di farina",,,,
272,57,518.0,30.0,1,,,,,
274,57,794.0,20.0,1,ALLERGENE,2020-02-06 14:23:59.667000,m.crea,,
275,57,574.0,0.1,1,,,,,
276,57,626.0,0.1,1,,,,,
277,57,529.0,0.1,1,,,,,
278,58,761.0,100.0,1,,2023-03-27 09:47:49.400000,m.cannarozzo,,
279,58,518.0,20.0,1,,,,,
280,58,667.0,50.0,1,,,,,
281,58,794.0,20.0,1,ALLERGENE,2020-02-06 14:08:20.057000,m.crea,,
282,58,626.0,0.1,1,,,,,
283,58,529.0,0.1,1,,,,,
284,58,506.0,5.0,1,ALLERGENE,2020-02-06 14:44:40.797000,m.crea,,
285,59,557.0,120.0,1,,2024-05-03 15:12:35.783000,v.giurdanella,,
286,59,531.0,20.0,1,,2024-05-03 15:12:42.843000,v.giurdanella,,
287,59,462.0,15.0,1,,,,,
288,59,506.0,5.0,1,,,,,
289,59,687.0,5.0,1,,2024-05-03 15:11:09.040000,v.giurdanella,,
290,59,451.0,10.0,1,,2024-05-03 15:12:47.013000,v.giurdanella,,
291,59,190.0,20.0,1,ALLERGENE,2024-05-03 15:11:58.907000,v.giurdanella,,
292,59,390.0,15.0,1,,,,,
293,59,647.0,5.0,1,ALLERGENE,2024-05-03 15:13:22.287000,v.giurdanella,,
295,60,701.0,120.0,1,,,,,
297,60,612.0,0.1,1,,,,,
298,60,8.0,0.1,1,,,,,
299,60,757.0,5.0,1,ALLERGENE,2023-02-21 12:37:44.617000,m.cannarozzo,,
300,61,553.0,250.0,1,,,,,
301,61,451.0,4.0,1,,,,,
302,61,530.0,0.1,1,,,,,
303,61,626.0,0.1,1,,,,,
304,61,757.0,5.0,1,,,,,
305,61,529.0,0.1,1,,,,,
306,62,553.0,250.0,1,,,,,
307,62,565.0,20.0,1,,,,,
308,62,757.0,5.0,1,,,,,
309,62,451.0,6.0,1,,,,,
311,62,574.0,0.1,1,,,,,
312,62,626.0,0.1,1,,,,,
313,62,529.0,0.1,1,,,,,
314,62,8.0,0.1,1,,,,,
315,62,462.0,10.0,1,,,,,
316,63,553.0,250.0,1,,,,,
317,63,8.0,0.1,1,,,,,
318,63,612.0,0.1,1,,,,,
320,63,451.0,5.0,1,,,,,
321,63,757.0,5.0,1,ALLERGENE,2023-02-20 09:19:54.487000,m.cannarozzo,,
322,64,557.0,150.0,1,,2024-04-24 15:48:47.450000,v.giurdanella,,
323,64,254.0,10.0,1,ALLERGENE,2020-02-06 14:28:03.437000,m.crea,,
324,64,455.0,10.0,1,,2023-03-27 10:51:24.740000,m.cannarozzo,,
325,64,95.0,10.0,1,ALLERGENE,2020-02-06 14:28:09.020000,m.crea,,
326,64,574.0,1.0,1,,,,,
327,64,687.0,5.0,1,,,,,
328,65,531.0,100.0,1,,,,,
329,65,451.0,5.0,1,,,,,
330,65,701.0,50.0,1,,,,,
331,65,794.0,10.0,1,ALLERGENE,2020-02-06 14:18:35.887000,m.crea,,
332,65,506.0,5.0,1,ALLERGENE,2020-02-06 14:47:23.397000,m.crea,,
333,66,760.0,150.0,1,,2024-04-24 15:47:20.607000,v.giurdanella,,
334,66,451.0,5.0,1,,,,,
335,66,626.0,0.1,1,,,,,
336,66,529.0,0.1,1,,,,,
338,67,198.0,130.0,1,,,,,
340,67,8.0,0.1,1,,,,,
341,67,634.0,0.1,1,,,,,
342,67,451.0,5.0,1,,,,,
343,67,757.0,5.0,1,ALLERGENE,2023-02-20 09:38:25.497000,m.cannarozzo,,
344,67,626.0,0.1,1,,,,,
345,67,529.0,0.1,1,,,,,
346,68,196.0,130.0,1,,,,,
347,68,188.0,30.0,1,,,,,
348,68,133.0,2.0,1,ALLERGENE,2023-02-20 09:37:29.607000,m.cannarozzo,,
349,68,4.0,5.0,1,ALLERGENE,2023-02-20 09:37:19.557000,m.cannarozzo,,
350,68,626.0,0.1,1,,,,,
351,68,529.0,0.1,1,,,,,
352,68,574.0,0.1,1,,,,,
353,69,761.0,120.0,1,,,,,
355,69,451.0,8.0,1,,,,,
357,69,759.0,10.0,1,ALLERGENE,2023-02-16 10:32:28.437000,f.gallo,,
358,69,793.0,0.1,1,,,,2023-03-27 13:44:28.843000,m.cannarozzo
359,69,130.0,0.1,1,,,,2023-03-27 13:44:34.743000,m.cannarozzo
360,69,441.0,0.1,1,,,,2023-03-27 13:44:39.483000,m.cannarozzo
361,69,626.0,0.1,1,,,,,
362,69,529.0,0.1,1,,,,,
363,70,761.0,140.0,1,,,,,
365,70,518.0,0.1,1,,2023-02-14 14:13:40.527000,m.cannarozzo,,
366,70,757.0,8.0,1,ALLERGENE,2023-02-20 10:04:56.930000,m.cannarozzo,,
367,70,626.0,0.1,1,,,,,
368,70,529.0,0.1,1,,,,,
369,70,451.0,6.0,1,,,,,
370,71,794.0,90.0,1,ALLERGENE,2020-02-06 14:10:11.380000,m.crea,,
371,71,667.0,30.0,1,,,,,
372,71,506.0,3.0,1,ALLERGENE,2020-02-06 14:46:22.603000,m.crea,,
373,71,626.0,0.1,1,,,,,
374,71,529.0,0.1,1,,,,,
375,72,794.0,100.0,1,ALLERGENE,2020-02-06 14:09:45.437000,m.crea,,
376,72,577.0,30.0,1,,,,,
377,72,506.0,3.0,1,ALLERGENE,2020-02-06 14:45:51.307000,m.crea,,
378,72,626.0,0.1,1,,,,,
379,72,529.0,0.1,1,,,,,
380,73,733.0,50.0,1,ALLERGENE,2020-02-06 14:23:04.397000,m.crea,,
381,73,518.0,50.0,1,,,,,
382,73,574.0,1.0,1,,,,,
383,73,794.0,8.0,1,ALLERGENE,2020-02-06 14:23:12.197000,m.crea,,
384,73,506.0,3.0,1,ALLERGENE,2020-02-06 14:47:58.793000,m.crea,,
385,73,3.0,3.0,1,ALLERGENE,2020-02-06 14:23:19.777000,m.crea,,
386,73,133.0,3.0,1,ALLERGENE,2023-07-20 09:16:17.323000,f.gallo,,
387,73,529.0,0.1,1,,,,,
388,74,795.0,180.0,1,ALLERGENE,2020-02-06 14:20:19.177000,m.crea,,
389,74,794.0,8.0,1,ALLERGENE,2020-02-06 14:20:34.153000,m.crea,,
390,74,492.0,5.0,1,ALLERGENE,2020-02-06 14:20:38.817000,m.crea,,
391,74,454.0,5.0,1,ALLERGENE,2020-02-06 14:20:44.293000,m.crea,,
392,75,796.0,160.0,1,ALLERGENE,2020-02-06 13:56:25.283000,m.crea,,
393,75,518.0,30.0,1,,2023-05-26 11:22:53.247000,f.gallo,,
395,75,574.0,1.0,1,,,,,
396,75,757.0,10.0,1,ALLERGENE,2023-05-26 11:22:09.093000,f.gallo,,
397,75,451.0,10.0,1,,,,,
398,75,565.0,10.0,1,,,,,
399,76,796.0,200.0,1,ALLERGENE,2020-02-06 14:11:11.817000,m.crea,,
400,76,254.0,10.0,1,ALLERGENE,2020-02-06 14:11:17.587000,m.crea,,
401,76,650.0,10.0,1,ALLERGENE,2020-02-06 14:11:24.717000,m.crea,,
402,76,626.0,0.1,1,,,,,
403,75,626.0,0.1,1,,,,,
404,75,529.0,0.1,1,,,,,
405,77,425.0,250.0,1,ALLERGENE,2020-02-06 14:17:10.227000,m.crea,,
406,77,574.0,2.0,1,,,,,
407,77,8.0,0.1,1,,,,,
408,77,451.0,5.0,1,,,,,
409,77,757.0,8.0,1,ALLERGENE,2023-03-27 14:07:57.683000,m.cannarozzo,,
410,77,626.0,0.1,1,,,,,
411,77,529.0,0.1,1,,,,,
412,77,687.0,3.0,1,,,,,
414,78,576.0,80.0,1,,,,,
416,78,462.0,10.0,1,,,,,
417,78,315.0,8.0,1,,,,,
418,78,4.0,1.0,1,,,,,
419,78,626.0,0.1,1,,,,,
420,79,795.0,180.0,1,ALLERGENE,2020-02-06 14:19:42.483000,m.crea,,
421,79,105.0,3.0,1,,,,,
422,79,687.0,6.0,1,,,,,
423,79,574.0,1.0,1,,,,,
